ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
673,2,M,10,10,1,0.5134571235,0.8257160759,4.85026960380904,4.05189645975365,9.63072157966719,8.8422613890917,0.902001983575603,-1,0,-1,1,0
674,13,F,8,10,1,0.4865248239,0.9722302826,6.3533266185,4.5995289835,10.6715811289,10.2167527034,0.9722302826,0,0,-1,0,0
675,2,M,10,10,1,0.5182905636,0.8025167564,5.24183436830904,4.69955339065365,11.1214419314672,9.9000569889917,0.878802664075603,-1,0,-1,1,0
676,2,M,10,10,1,0.5546538041,0.8842480719,5.2290504464,4.584299071,11.3321294163,9.9518901626,0.8842480719,-1,0,-1,0,-1
677,2,M,10,10,1,0.3992233604,0.7304182266,4.64354305149096,4.09042664904635,9.42011137123281,8.7592319614083,0.654132318924397,-1,0,-1,-1,-1
678,2,M,10,10,1,0.4334748968,0.984675307,4.96247605769096,4.44582486244635,10.6857619036328,9.0857024466083,0.908389399324397,-1,0,-1,-1,0
679,28,F,6,6,1,0.5753944664,1.1677582845,5.644547422,5.3422302361,11.7529747433,10.4435943972,1.1677582845,-1,0,0,0,1
680,28,M,6,6,1,0.5750168832,1.1626701233,6.59596205179096,5.06776826914636,11.4377413132328,10.5965343310083,1.0863842156244,-1,0,0,-1,0
681,41,M,7,6,1,0.4447581553,0.9879337652,5.5942642188,5.0951772244,10.8700265872,9.4196513347,0.9879337652,0,-1,0,0,0
682,41,M,7,6,1,0.4991759131,1.0526156832,5.3960684142,4.7322702419,11.4753763526,10.1152331619,1.0526156832,0,-1,0,0,0
683,28,M,6,6,1,0.6570179273,1.0215374824,5.7799878864,4.9129340146,12.0613106549,10.6839169042,1.0215374824,-1,0,-1,0,0
